Wavelength (nm)	Transmission (dBm)	Linear Transmission
1575.000000	-82.209999	0.000000
1575.015991	-82.010002	0.000000
1575.031982	-210.000000	0.000000
1575.047974	-92.419998	0.000000
1575.063965	-83.669998	0.000000
1575.079956	-79.870003	0.000000
1575.095947	-86.400002	0.000000
1575.112061	-210.000000	0.000000
1575.128052	-83.970001	0.000000
1575.144043	-82.010002	0.000000
1575.160034	-210.000000	0.000000
1575.176025	-83.970001	0.000000
1575.192017	-210.000000	0.000000
1575.208008	-210.000000	0.000000
1575.223999	-210.000000	0.000000
1575.239990	-210.000000	0.000000
1575.255981	-210.000000	0.000000
1575.271973	-210.000000	0.000000
1575.287964	-80.660004	0.000000
1575.303955	-210.000000	0.000000
1575.319946	-79.989998	0.000000
1575.336060	-89.410004	0.000000
1575.352051	-210.000000	0.000000
1575.368042	-80.959999	0.000000
1575.384033	-210.000000	0.000000
1575.400024	-210.000000	0.000000
1575.416016	-210.000000	0.000000
1575.432007	-210.000000	0.000000
1575.447998	-210.000000	0.000000
1575.463989	-84.639999	0.000000
1575.479980	-210.000000	0.000000
1575.495972	-210.000000	0.000000
1575.511963	-79.529999	0.000000
1575.527954	-210.000000	0.000000
1575.543945	-82.889999	0.000000
1575.560059	-210.000000	0.000000
1575.576050	-80.669998	0.000000
1575.592041	-210.000000	0.000000
1575.608032	-88.449997	0.000000
1575.624023	-210.000000	0.000000
1575.640015	-84.650002	0.000000
1575.656006	-210.000000	0.000000
1575.671997	-210.000000	0.000000
1575.687988	-210.000000	0.000000
1575.703979	-210.000000	0.000000
1575.719971	-210.000000	0.000000
1575.735962	-82.650002	0.000000
1575.751953	-210.000000	0.000000
1575.767944	-210.000000	0.000000
1575.784058	-210.000000	0.000000
1575.800049	-210.000000	0.000000
1575.816040	-81.820000	0.000000
1575.832031	-78.449997	0.000000
1575.848022	-210.000000	0.000000
1575.864014	-210.000000	0.000000
1575.880005	-210.000000	0.000000
1575.895996	-210.000000	0.000000
1575.911987	-210.000000	0.000000
1575.927979	-210.000000	0.000000
1575.943970	-210.000000	0.000000
1575.959961	-210.000000	0.000000
1575.975952	-210.000000	0.000000
1575.991943	-210.000000	0.000000
1576.008057	-85.029999	0.000000
1576.024048	-210.000000	0.000000
1576.040039	-210.000000	0.000000
1576.056030	-210.000000	0.000000
1576.072021	-210.000000	0.000000
1576.088013	-95.440002	0.000000
1576.104004	-90.669998	0.000000
1576.119995	-86.410004	0.000000
1576.135986	-81.129997	0.000000
1576.151978	-210.000000	0.000000
1576.167969	-83.980003	0.000000
1576.183960	-81.129997	0.000000
1576.199951	-210.000000	0.000000
1576.215942	-210.000000	0.000000
1576.232056	-84.650002	0.000000
1576.248047	-210.000000	0.000000
1576.264038	-84.300003	0.000000
1576.280029	-210.000000	0.000000
1576.296021	-82.650002	0.000000
1576.312012	-79.760002	0.000000
1576.328003	-79.879997	0.000000
1576.343994	-210.000000	0.000000
1576.359985	-87.660004	0.000000
1576.375977	-210.000000	0.000000
1576.391968	-80.669998	0.000000
1576.407959	-89.419998	0.000000
1576.423950	-210.000000	0.000000
1576.439941	-210.000000	0.000000
1576.456055	-210.000000	0.000000
1576.472046	-210.000000	0.000000
1576.488037	-80.529999	0.000000
1576.504028	-210.000000	0.000000
1576.520020	-210.000000	0.000000
1576.536011	-82.019997	0.000000
1576.552002	-80.389999	0.000000
1576.567993	-210.000000	0.000000
1576.583984	-81.639999	0.000000
1576.599976	-83.980003	0.000000
1576.615967	-85.440002	0.000000
1576.631958	-210.000000	0.000000
1576.647949	-85.440002	0.000000
1576.663940	-210.000000	0.000000
1576.680054	-82.889999	0.000000
1576.696045	-89.419998	0.000000
1576.712036	-82.019997	0.000000
1576.728027	-210.000000	0.000000
1576.744019	-78.120003	0.000000
1576.760010	-85.900002	0.000000
1576.776001	-82.650002	0.000000
1576.791992	-210.000000	0.000000
1576.807983	-210.000000	0.000000
1576.823975	-88.449997	0.000000
1576.839966	-80.820000	0.000000
1576.855957	-210.000000	0.000000
1576.871948	-95.440002	0.000000
1576.887939	-210.000000	0.000000
1576.904053	-87.660004	0.000000
1576.920044	-88.449997	0.000000
1576.936035	-210.000000	0.000000
1576.952026	-85.900002	0.000000
1576.968018	-90.669998	0.000000
1576.984009	-210.000000	0.000000
1577.000000	-210.000000	0.000000
1577.015991	-85.440002	0.000000
1577.031982	-210.000000	0.000000
1577.047974	-210.000000	0.000000
1577.063965	-210.000000	0.000000
1577.079956	-210.000000	0.000000
1577.095947	-210.000000	0.000000
1577.112061	-82.430000	0.000000
1577.128052	-87.660004	0.000000
1577.144043	-210.000000	0.000000
1577.160034	-210.000000	0.000000
1577.176025	-82.650002	0.000000
1577.192017	-92.430000	0.000000
1577.208008	-87.660004	0.000000
1577.223999	-210.000000	0.000000
1577.239990	-83.980003	0.000000
1577.255981	-92.430000	0.000000
1577.271973	-82.430000	0.000000
1577.287964	-210.000000	0.000000
1577.303955	-210.000000	0.000000
1577.319946	-83.129997	0.000000
1577.336060	-210.000000	0.000000
1577.352051	-210.000000	0.000000
1577.368042	-210.000000	0.000000
1577.384033	-210.000000	0.000000
1577.400024	-210.000000	0.000000
1577.416016	-210.000000	0.000000
1577.432007	-80.389999	0.000000
1577.447998	-210.000000	0.000000
1577.463989	-83.980003	0.000000
1577.479980	-90.669998	0.000000
1577.495972	-81.820000	0.000000
1577.511963	-80.820000	0.000000
1577.527954	-92.430000	0.000000
1577.543945	-210.000000	0.000000
1577.560059	-210.000000	0.000000
1577.576050	-210.000000	0.000000
1577.592041	-92.430000	0.000000
1577.608032	-80.120003	0.000000
1577.624023	-83.980003	0.000000
1577.640015	-83.680000	0.000000
1577.656006	-210.000000	0.000000
1577.671997	-210.000000	0.000000
1577.687988	-210.000000	0.000000
1577.703979	-83.680000	0.000000
1577.719971	-85.900002	0.000000
1577.735962	-86.410004	0.000000
1577.751953	-210.000000	0.000000
1577.767944	-210.000000	0.000000
1577.784058	-210.000000	0.000000
1577.800049	-210.000000	0.000000
1577.816040	-210.000000	0.000000
1577.832031	-210.000000	0.000000
1577.848022	-210.000000	0.000000
1577.864014	-210.000000	0.000000
1577.880005	-84.300003	0.000000
