Wavelength (nm)	Transmission (dBm)	Linear Transmission
1575.000000	-86.400002	0.000000
1575.015991	-81.809998	0.000000
1575.031982	-85.889999	0.000000
1575.047974	-210.000000	0.000000
1575.063965	-210.000000	0.000000
1575.079956	-210.000000	0.000000
1575.095947	-210.000000	0.000000
1575.112061	-210.000000	0.000000
1575.128052	-210.000000	0.000000
1575.144043	-80.660004	0.000000
1575.160034	-210.000000	0.000000
1575.176025	-210.000000	0.000000
1575.192017	-210.000000	0.000000
1575.208008	-210.000000	0.000000
1575.223999	-210.000000	0.000000
1575.239990	-84.639999	0.000000
1575.255981	-210.000000	0.000000
1575.271973	-210.000000	0.000000
1575.287964	-80.379997	0.000000
1575.303955	-210.000000	0.000000
1575.319946	-79.750000	0.000000
1575.336060	-80.519997	0.000000
1575.352051	-210.000000	0.000000
1575.368042	-78.800003	0.000000
1575.384033	-81.120003	0.000000
1575.400024	-210.000000	0.000000
1575.416016	-210.000000	0.000000
1575.432007	-81.120003	0.000000
1575.447998	-80.660004	0.000000
1575.463989	-210.000000	0.000000
1575.479980	-86.980003	0.000000
1575.495972	-210.000000	0.000000
1575.511963	-81.459999	0.000000
1575.527954	-210.000000	0.000000
1575.543945	-210.000000	0.000000
1575.560059	-210.000000	0.000000
1575.576050	-210.000000	0.000000
1575.592041	-210.000000	0.000000
1575.608032	-210.000000	0.000000
1575.624023	-210.000000	0.000000
1575.640015	-210.000000	0.000000
1575.656006	-84.300003	0.000000
1575.671997	-210.000000	0.000000
1575.687988	-210.000000	0.000000
1575.703979	-210.000000	0.000000
1575.719971	-80.820000	0.000000
1575.735962	-80.529999	0.000000
1575.751953	-83.400002	0.000000
1575.767944	-81.820000	0.000000
1575.784058	-78.629997	0.000000
1575.800049	-85.440002	0.000000
1575.816040	-81.290001	0.000000
1575.832031	-210.000000	0.000000
1575.848022	-210.000000	0.000000
1575.864014	-210.000000	0.000000
1575.880005	-210.000000	0.000000
1575.895996	-80.970001	0.000000
1575.911987	-81.459999	0.000000
1575.927979	-210.000000	0.000000
1575.943970	-78.040001	0.000000
1575.959961	-83.980003	0.000000
1575.975952	-210.000000	0.000000
1575.991943	-210.000000	0.000000
1576.008057	-82.019997	0.000000
1576.024048	-210.000000	0.000000
1576.040039	-210.000000	0.000000
1576.056030	-210.000000	0.000000
1576.072021	-86.989998	0.000000
1576.088013	-210.000000	0.000000
1576.104004	-210.000000	0.000000
1576.119995	-86.410004	0.000000
1576.135986	-86.410004	0.000000
1576.151978	-78.120003	0.000000
1576.167969	-210.000000	0.000000
1576.183960	-86.989998	0.000000
1576.199951	-210.000000	0.000000
1576.215942	-92.430000	0.000000
1576.232056	-81.129997	0.000000
1576.248047	-84.300003	0.000000
1576.264038	-210.000000	0.000000
1576.280029	-210.000000	0.000000
1576.296021	-88.449997	0.000000
1576.312012	-80.529999	0.000000
1576.328003	-210.000000	0.000000
1576.343994	-210.000000	0.000000
1576.359985	-210.000000	0.000000
1576.375977	-210.000000	0.000000
1576.391968	-210.000000	0.000000
1576.407959	-210.000000	0.000000
1576.423950	-85.900002	0.000000
1576.439941	-210.000000	0.000000
1576.456055	-210.000000	0.000000
1576.472046	-210.000000	0.000000
1576.488037	-81.820000	0.000000
1576.504028	-85.440002	0.000000
1576.520020	-81.820000	0.000000
1576.536011	-82.650002	0.000000
1576.552002	-82.019997	0.000000
1576.567993	-83.129997	0.000000
1576.583984	-83.400002	0.000000
1576.599976	-92.430000	0.000000
1576.615967	-79.209999	0.000000
1576.631958	-210.000000	0.000000
1576.647949	-210.000000	0.000000
1576.663940	-210.000000	0.000000
1576.680054	-85.440002	0.000000
1576.696045	-210.000000	0.000000
1576.712036	-80.820000	0.000000
1576.728027	-210.000000	0.000000
1576.744019	-210.000000	0.000000
1576.760010	-83.680000	0.000000
1576.776001	-82.430000	0.000000
1576.791992	-210.000000	0.000000
1576.807983	-87.660004	0.000000
1576.823975	-210.000000	0.000000
1576.839966	-210.000000	0.000000
1576.855957	-210.000000	0.000000
1576.871948	-210.000000	0.000000
1576.887939	-81.129997	0.000000
1576.904053	-210.000000	0.000000
1576.920044	-81.459999	0.000000
1576.936035	-210.000000	0.000000
1576.952026	-80.000000	0.000000
1576.968018	-90.669998	0.000000
1576.984009	-86.410004	0.000000
1577.000000	-83.680000	0.000000
1577.015991	-210.000000	0.000000
1577.031982	-210.000000	0.000000
1577.047974	-81.459999	0.000000
1577.063965	-85.900002	0.000000
1577.079956	-210.000000	0.000000
1577.095947	-82.650002	0.000000
1577.112061	-210.000000	0.000000
1577.128052	-210.000000	0.000000
1577.144043	-82.889999	0.000000
1577.160034	-210.000000	0.000000
1577.176025	-85.440002	0.000000
1577.192017	-210.000000	0.000000
1577.208008	-210.000000	0.000000
1577.223999	-210.000000	0.000000
1577.239990	-82.650002	0.000000
1577.255981	-210.000000	0.000000
1577.271973	-84.300003	0.000000
1577.287964	-210.000000	0.000000
1577.303955	-210.000000	0.000000
1577.319946	-84.650002	0.000000
1577.336060	-210.000000	0.000000
1577.352051	-210.000000	0.000000
1577.368042	-210.000000	0.000000
1577.384033	-210.000000	0.000000
1577.400024	-210.000000	0.000000
1577.416016	-210.000000	0.000000
1577.432007	-210.000000	0.000000
1577.447998	-210.000000	0.000000
1577.463989	-88.449997	0.000000
1577.479980	-210.000000	0.000000
1577.495972	-210.000000	0.000000
1577.511963	-92.430000	0.000000
1577.527954	-81.129997	0.000000
1577.543945	-210.000000	0.000000
1577.560059	-83.400002	0.000000
1577.576050	-81.459999	0.000000
1577.592041	-210.000000	0.000000
1577.608032	-210.000000	0.000000
1577.624023	-84.300003	0.000000
1577.640015	-210.000000	0.000000
1577.656006	-79.639999	0.000000
1577.671997	-210.000000	0.000000
1577.687988	-210.000000	0.000000
1577.703979	-210.000000	0.000000
1577.719971	-210.000000	0.000000
1577.735962	-210.000000	0.000000
1577.751953	-210.000000	0.000000
1577.767944	-85.900002	0.000000
1577.784058	-210.000000	0.000000
1577.800049	-210.000000	0.000000
1577.816040	-89.419998	0.000000
1577.832031	-210.000000	0.000000
1577.848022	-81.459999	0.000000
1577.864014	-85.029999	0.000000
1577.880005	-210.000000	0.000000
1577.895996	-210.000000	0.000000
1577.911987	-83.400002	0.000000
1577.927979	-82.019997	0.000000
1577.943970	-88.449997	0.000000
