Wavelength (nm)	Transmission (dBm)	Linear Transmission
1575.000000	-79.870003	0.000000
1575.015991	-210.000000	0.000000
1575.031982	-210.000000	0.000000
1575.047974	-210.000000	0.000000
1575.063965	-82.010002	0.000000
1575.079956	-210.000000	0.000000
1575.095947	-210.000000	0.000000
1575.112061	-83.669998	0.000000
1575.128052	-83.389999	0.000000
1575.144043	-210.000000	0.000000
1575.160034	-82.010002	0.000000
1575.176025	-90.660004	0.000000
1575.192017	-210.000000	0.000000
1575.208008	-210.000000	0.000000
1575.223999	-210.000000	0.000000
1575.239990	-83.120003	0.000000
1575.255981	-210.000000	0.000000
1575.271973	-80.239998	0.000000
1575.287964	-90.660004	0.000000
1575.303955	-80.959999	0.000000
1575.319946	-210.000000	0.000000
1575.336060	-210.000000	0.000000
1575.352051	-210.000000	0.000000
1575.368042	-210.000000	0.000000
1575.384033	-82.010002	0.000000
1575.400024	-210.000000	0.000000
1575.416016	-86.980003	0.000000
1575.432007	-210.000000	0.000000
1575.447998	-85.019997	0.000000
1575.463989	-82.209999	0.000000
1575.479980	-210.000000	0.000000
1575.495972	-89.419998	0.000000
1575.511963	-210.000000	0.000000
1575.527954	-210.000000	0.000000
1575.543945	-95.440002	0.000000
1575.560059	-210.000000	0.000000
1575.576050	-210.000000	0.000000
1575.592041	-210.000000	0.000000
1575.608032	-210.000000	0.000000
1575.624023	-210.000000	0.000000
1575.640015	-83.129997	0.000000
1575.656006	-95.440002	0.000000
1575.671997	-210.000000	0.000000
1575.687988	-210.000000	0.000000
1575.703979	-210.000000	0.000000
1575.719971	-210.000000	0.000000
1575.735962	-210.000000	0.000000
1575.751953	-210.000000	0.000000
1575.767944	-210.000000	0.000000
1575.784058	-210.000000	0.000000
1575.800049	-210.000000	0.000000
1575.816040	-210.000000	0.000000
1575.832031	-81.129997	0.000000
1575.848022	-210.000000	0.000000
1575.864014	-88.449997	0.000000
1575.880005	-210.000000	0.000000
1575.895996	-210.000000	0.000000
1575.911987	-82.019997	0.000000
1575.927979	-210.000000	0.000000
1575.943970	-87.660004	0.000000
1575.959961	-210.000000	0.000000
1575.975952	-81.290001	0.000000
1575.991943	-210.000000	0.000000
1576.008057	-210.000000	0.000000
1576.024048	-85.029999	0.000000
1576.040039	-87.660004	0.000000
1576.056030	-210.000000	0.000000
1576.072021	-95.440002	0.000000
1576.088013	-210.000000	0.000000
1576.104004	-82.019997	0.000000
1576.119995	-84.650002	0.000000
1576.135986	-81.459999	0.000000
1576.151978	-85.900002	0.000000
1576.167969	-210.000000	0.000000
1576.183960	-210.000000	0.000000
1576.199951	-210.000000	0.000000
1576.215942	-85.900002	0.000000
1576.232056	-210.000000	0.000000
1576.248047	-210.000000	0.000000
1576.264038	-210.000000	0.000000
1576.280029	-210.000000	0.000000
1576.296021	-210.000000	0.000000
1576.312012	-81.639999	0.000000
1576.328003	-210.000000	0.000000
1576.343994	-83.400002	0.000000
1576.359985	-83.980003	0.000000
1576.375977	-210.000000	0.000000
1576.391968	-210.000000	0.000000
1576.407959	-210.000000	0.000000
1576.423950	-80.250000	0.000000
1576.439941	-210.000000	0.000000
1576.456055	-83.980003	0.000000
1576.472046	-210.000000	0.000000
1576.488037	-84.650002	0.000000
1576.504028	-210.000000	0.000000
1576.520020	-82.650002	0.000000
1576.536011	-210.000000	0.000000
1576.552002	-92.430000	0.000000
1576.567993	-83.129997	0.000000
1576.583984	-80.250000	0.000000
1576.599976	-210.000000	0.000000
1576.615967	-210.000000	0.000000
1576.631958	-210.000000	0.000000
1576.647949	-95.440002	0.000000
1576.663940	-82.430000	0.000000
1576.680054	-210.000000	0.000000
1576.696045	-210.000000	0.000000
1576.712036	-210.000000	0.000000
1576.728027	-82.889999	0.000000
1576.744019	-86.989998	0.000000
1576.760010	-84.650002	0.000000
1576.776001	-84.650002	0.000000
1576.791992	-95.440002	0.000000
1576.807983	-82.889999	0.000000
1576.823975	-210.000000	0.000000
1576.839966	-210.000000	0.000000
1576.855957	-210.000000	0.000000
1576.871948	-85.440002	0.000000
1576.887939	-210.000000	0.000000
1576.904053	-210.000000	0.000000
1576.920044	-210.000000	0.000000
1576.936035	-210.000000	0.000000
1576.952026	-210.000000	0.000000
1576.968018	-83.680000	0.000000
1576.984009	-210.000000	0.000000
1577.000000	-90.669998	0.000000
1577.015991	-92.430000	0.000000
1577.031982	-82.889999	0.000000
1577.047974	-210.000000	0.000000
1577.063965	-210.000000	0.000000
1577.079956	-210.000000	0.000000
1577.095947	-210.000000	0.000000
1577.112061	-210.000000	0.000000
1577.128052	-210.000000	0.000000
1577.144043	-210.000000	0.000000
1577.160034	-81.459999	0.000000
1577.176025	-78.629997	0.000000
1577.192017	-210.000000	0.000000
1577.208008	-210.000000	0.000000
1577.223999	-85.900002	0.000000
1577.239990	-210.000000	0.000000
1577.255981	-85.900002	0.000000
1577.271973	-87.660004	0.000000
1577.287964	-210.000000	0.000000
1577.303955	-210.000000	0.000000
1577.319946	-87.660004	0.000000
1577.336060	-210.000000	0.000000
1577.352051	-85.029999	0.000000
1577.368042	-85.440002	0.000000
1577.384033	-210.000000	0.000000
1577.400024	-210.000000	0.000000
1577.416016	-210.000000	0.000000
1577.432007	-210.000000	0.000000
1577.447998	-210.000000	0.000000
1577.463989	-82.650002	0.000000
1577.479980	-79.000000	0.000000
1577.495972	-210.000000	0.000000
1577.511963	-210.000000	0.000000
1577.527954	-86.410004	0.000000
1577.543945	-95.440002	0.000000
1577.560059	-210.000000	0.000000
1577.576050	-78.199997	0.000000
1577.592041	-210.000000	0.000000
1577.608032	-210.000000	0.000000
1577.624023	-87.660004	0.000000
1577.640015	-80.669998	0.000000
1577.656006	-210.000000	0.000000
1577.671997	-210.000000	0.000000
1577.687988	-210.000000	0.000000
1577.703979	-210.000000	0.000000
1577.719971	-210.000000	0.000000
1577.735962	-85.440002	0.000000
1577.751953	-210.000000	0.000000
1577.767944	-83.129997	0.000000
1577.784058	-210.000000	0.000000
1577.800049	-210.000000	0.000000
1577.816040	-210.000000	0.000000
1577.832031	-210.000000	0.000000
1577.848022	-210.000000	0.000000
1577.864014	-210.000000	0.000000
1577.880005	-210.000000	0.000000
1577.895996	-210.000000	0.000000
1577.911987	-87.660004	0.000000
1577.927979	-210.000000	0.000000
1577.943970	-86.989998	0.000000
1577.959961	-80.820000	0.000000
1577.975952	-210.000000	0.000000
1577.991943	-92.440002	0.000000
1578.008057	-83.690002	0.000000
1578.024048	-85.449997	0.000000
1578.040039	-210.000000	0.000000
1578.056030	-83.410004	0.000000
1578.072021	-210.000000	0.000000
1578.088013	-210.000000	0.000000
1578.104004	-210.000000	0.000000
1578.119995	-88.459999	0.000000
1578.135986	-92.440002	0.000000
1578.151978	-95.449997	0.000000
1578.167969	-210.000000	0.000000
1578.183960	-210.000000	0.000000
1578.199951	-210.000000	0.000000
1578.215942	-210.000000	0.000000
1578.232056	-83.989998	0.000000
1578.248047	-210.000000	0.000000
1578.264038	-210.000000	0.000000
1578.280029	-210.000000	0.000000
1578.296021	-210.000000	0.000000
1578.312012	-83.690002	0.000000
1578.328003	-210.000000	0.000000
1578.343994	-210.000000	0.000000
1578.359985	-210.000000	0.000000
1578.375977	-92.440002	0.000000
1578.391968	-210.000000	0.000000
1578.407959	-210.000000	0.000000
1578.423950	-90.680000	0.000000
1578.439941	-210.000000	0.000000
1578.456055	-210.000000	0.000000
1578.472046	-82.660004	0.000000
1578.488037	-210.000000	0.000000
1578.504028	-85.910004	0.000000
1578.520020	-82.900002	0.000000
1578.536011	-210.000000	0.000000
1578.552002	-210.000000	0.000000
1578.567993	-210.000000	0.000000
1578.583984	-89.430000	0.000000
1578.599976	-88.459999	0.000000
1578.615967	-84.660004	0.000000
1578.631958	-210.000000	0.000000
1578.647949	-210.000000	0.000000
1578.663940	-210.000000	0.000000
1578.680054	-210.000000	0.000000
1578.696045	-83.989998	0.000000
1578.712036	-210.000000	0.000000
1578.728027	-210.000000	0.000000
1578.744019	-88.459999	0.000000
1578.760010	-210.000000	0.000000
1578.776001	-85.040001	0.000000
1578.791992	-86.419998	0.000000
1578.807983	-210.000000	0.000000
1578.823975	-210.000000	0.000000
1578.839966	-210.000000	0.000000
1578.855957	-210.000000	0.000000
1578.871948	-210.000000	0.000000
1578.887939	-89.430000	0.000000
1578.904053	-210.000000	0.000000
1578.920044	-210.000000	0.000000
1578.936035	-83.410004	0.000000
1578.952026	-210.000000	0.000000
1578.968018	-78.730003	0.000000
1578.984009	-82.230003	0.000000
1579.000000	-83.690002	0.000000
1579.015991	-210.000000	0.000000
1579.031982	-210.000000	0.000000
1579.047974	-210.000000	0.000000
1579.063965	-85.910004	0.000000
1579.079956	-210.000000	0.000000
1579.095947	-210.000000	0.000000
1579.112061	-83.410004	0.000000
1579.128052	-88.459999	0.000000
1579.144043	-210.000000	0.000000
1579.160034	-81.650002	0.000000
1579.176025	-210.000000	0.000000
1579.192017	-81.300003	0.000000
1579.208008	-210.000000	0.000000
1579.223999	-210.000000	0.000000
1579.239990	-79.320000	0.000000
1579.255981	-210.000000	0.000000
1579.271973	-79.430000	0.000000
1579.287964	-210.000000	0.000000
1579.303955	-210.000000	0.000000
1579.319946	-210.000000	0.000000
1579.336060	-79.769997	0.000000
1579.352051	-78.129997	0.000000
1579.368042	-82.029999	0.000000
1579.384033	-83.690002	0.000000
1579.400024	-210.000000	0.000000
1579.416016	-210.000000	0.000000
1579.432007	-82.230003	0.000000
1579.447998	-80.400002	0.000000
1579.463989	-83.690002	0.000000
1579.479980	-82.660004	0.000000
1579.495972	-80.980003	0.000000
1579.511963	-85.040001	0.000000
1579.527954	-85.449997	0.000000
1579.543945	-82.230003	0.000000
1579.560059	-85.449997	0.000000
1579.576050	-79.110001	0.000000
1579.592041	-82.440002	0.000000
1579.608032	-83.139999	0.000000
1579.624023	-210.000000	0.000000
1579.640015	-82.029999	0.000000
1579.656006	-81.650002	0.000000
1579.671997	-77.529999	0.000000
1579.687988	-82.230003	0.000000
1579.703979	-82.900002	0.000000
1579.719971	-82.900002	0.000000
1579.735962	-81.300003	0.000000
1579.751953	-80.400002	0.000000
1579.767944	-85.040001	0.000000
1579.784058	-78.459999	0.000000
1579.800049	-76.940002	0.000000
1579.816040	-77.889999	0.000000
1579.832031	-77.599998	0.000000
1579.848022	-76.360001	0.000000
1579.864014	-76.099998	0.000000
1579.880005	-75.580002	0.000000
1579.895996	-73.570000	0.000000
1579.911987	-74.730003	0.000000
1579.927979	-71.809998	0.000000
1579.943970	-72.419998	0.000000
1579.959961	-72.459999	0.000000
1579.975952	-71.790001	0.000000
1579.991943	-72.750000	0.000000
1580.008057	-70.169998	0.000000
1580.024048	-69.540001	0.000000
1580.040039	-67.879997	0.000000
1580.056030	-67.570000	0.000000
1580.072021	-66.830002	0.000000
1580.088013	-66.419998	0.000000
1580.104004	-66.010002	0.000000
1580.119995	-65.879997	0.000000
1580.135986	-65.629997	0.000000
1580.151978	-65.279999	0.000000
1580.167969	-65.010002	0.000000
1580.183960	-64.750000	0.000000
1580.199951	-64.400002	0.000000
1580.215942	-63.849998	0.000000
1580.232056	-63.389999	0.000000
1580.248047	-62.910000	0.000001
1580.264038	-62.639999	0.000001
1580.280029	-62.400002	0.000001
1580.296021	-62.290001	0.000001
1580.312012	-62.180000	0.000001
1580.328003	-62.279999	0.000001
1580.343994	-62.139999	0.000001
1580.359985	-62.000000	0.000001
1580.375977	-61.700001	0.000001
1580.391968	-61.419998	0.000001
1580.407959	-61.169998	0.000001
1580.423950	-60.910000	0.000001
1580.439941	-60.740002	0.000001
1580.456055	-60.560001	0.000001
1580.472046	-60.439999	0.000001
1580.488037	-60.369999	0.000001
1580.504028	-60.410000	0.000001
1580.520020	-60.439999	0.000001
1580.536011	-60.470001	0.000001
1580.552002	-60.459999	0.000001
1580.567993	-60.310001	0.000001
1580.583984	-60.049999	0.000001
1580.599976	-59.779999	0.000001
1580.615967	-59.680000	0.000001
1580.631958	-59.590000	0.000001
1580.647949	-59.669998	0.000001
1580.663940	-59.669998	0.000001
1580.680054	-59.750000	0.000001
1580.696045	-59.849998	0.000001
1580.712036	-59.830002	0.000001
1580.728027	-59.630001	0.000001
1580.744019	-59.459999	0.000001
1580.760010	-59.290001	0.000001
1580.776001	-59.150002	0.000001
1580.791992	-59.169998	0.000001
1580.807983	-59.270000	0.000001
1580.823975	-59.419998	0.000001
1580.839966	-59.450001	0.000001
1580.855957	-59.470001	0.000001
1580.871948	-59.279999	0.000001
1580.887939	-59.000000	0.000001
1580.904053	-58.840000	0.000001
1580.920044	-58.720001	0.000001
1580.936035	-58.709999	0.000001
1580.952026	-58.680000	0.000001
